1645420220.0,artosis,A,2169,T,,B,1957,P,polypoid,24,low,1375.8580000000002,victory
1645420220.0,artosis,A,2183,T,Cubic,A,2064,P,largo,24,low,2782.263,pending
1645420220.0,artosis,A,,T,RyuGwansoon,A,2179,T,polypoid,24,low,3200.681,victory
1645420220.0,artosis,A,,T,DAddwdwAAA,S,2397,T,eclipse,24,low,4852.331,defeat
1645420220.0,artosis,A,2202,T,,,,P,largo,24,low,5492.971,defeat
1645420220.0,artosis,A,2202,T,,B,,R,largo,24,low,7777.753000000001,victory
1645420220.0,artosis,A,2209,T,KofeWkdWKdMan,A,2115,T,eclipse,24,low,9199.674,defeat
1645420220.0,artosis,A,2180,T,3050 7tierzerg,A,2243,Z,largo,24,low,10712.185000000001,defeat
1645420220.0,artosis,A,2162,T,Flaaaash,A,2068,Z,largo,24,low,12192.163,victory
1645420220.0,artosis,A,2179,T,RyuGwanSoon,A,2201,T,goodnight,24,low,13095.566,defeat
1645420220.0,artosis,A,2159,T,|SDrone|,,,Z,eclipse,24,low,14886.355000000001,defeat
1645420220.0,artosis,A,2138,T,IZiZIZIZIZIZ,A,2115,T,polypoid,16,low,16398.365,victory
1645420220.0,artosis,A,2158,T,puradaksiksa,B,1905,Z,largo,24,low,16475.442,victory
